;0.0015,0.0027,0.0026,0.0012,0.1228,0.0013,0.0013,0.0035,0.0012,0.0014,0.0025,0.0059,0.0028,0.0013,0.0050,0.0014,0.0055,0.0026
满头;0.0015,0.0013,0.0026,0.0051,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
海陆空;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0065,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
本土;0.0015,0.0092,0.0026,0.0036,0.0046,0.0013,0.0070,0.0028,0.0024,0.0014,0.0097,0.0030,0.0014,0.0135,0.0023,0.0089,0.0032,0.0045
脚手架;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
驻扎;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0053,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0038
米其林;0.0015,0.0027,0.0026,0.0024,0.0046,0.0013,0.0013,0.0137,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
解约;0.0015,0.0013,0.0026,0.0051,0.0046,0.0026,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0178,0.0023,0.0014,0.0016,0.0013
杜克;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0032,0.0023,0.0014,0.0016,0.0026
脏腑;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0059,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
关云长;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0047,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
第52;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0039,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
月季;0.0015,0.0013,0.0026,0.0012,0.0136,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
第54;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0053,0.0030,0.0014,0.0026,0.0023,0.0014,0.0016,0.0013
本国;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0024,0.0047,0.0041,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0069
老总;0.0015,0.0128,0.0026,0.0040,0.0046,0.0013,0.0057,0.0014,0.0012,0.0036,0.0032,0.0030,0.0076,0.0067,0.0172,0.0014,0.0016,0.0013
反馈;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0035,0.0016,0.0013
孤魂;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
月子;0.2571,0.0013,0.0026,0.0012,0.0046,0.0026,0.0013,0.0088,0.0024,0.0014,0.0012,0.0088,0.0051,0.0013,0.0050,0.0014,0.0016,0.0013
瞠目;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0047,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
肉酱;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0098,0.0012,0.0028,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
登高;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0024,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0087,0.0013
赫鲁晓夫;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0041,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
GA8;0.0015,0.0115,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
索罗斯;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0095,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0082
星石;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
硬度;0.0015,0.0033,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0025,0.0088,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
宝钢;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0186,0.0014,0.0012,0.0014,0.0025,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0013
相让;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
罗生;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
清理;0.0035,0.0101,0.0077,0.0012,0.0046,0.0013,0.0115,0.0061,0.0024,0.0047,0.0041,0.0266,0.0195,0.0026,0.0050,0.0099,0.0039,0.0069
变频;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0047,0.0016,0.0013
屁股;0.0269,0.0115,0.0026,0.0036,0.0090,0.0093,0.0013,0.0035,0.0272,0.0048,0.0025,0.0030,0.0119,0.0042,0.0098,0.0028,0.0055,0.0038
后金;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0047,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
风雪;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
白马;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0114,0.0028,0.0012,0.0047,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
金山;0.0035,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0030,0.0043,0.0013,0.0023,0.0047,0.0087,0.0026
船工;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0099,0.0014,0.0016,0.0013
演化;0.0015,0.0013,0.0316,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0028,0.0012,0.0030,0.0014,0.0032,0.0023,0.0014,0.0016,0.0013
无罪;0.0015,0.0013,0.0026,0.0012,0.0090,0.0013,0.0013,0.0014,0.0012,0.0036,0.0012,0.0030,0.0076,0.0026,0.0023,0.0014,0.0016,0.0026
罪犯;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0036,0.0041,0.0030,0.0051,0.0013,0.0051,0.0028,0.0016,0.0082
国破家亡;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0036,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
旅游区;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0039,0.0013
官长;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
